Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare/Objekta veids,Darbojās 2017.gadā,Bibliotēkas vadītājs/direktors,Reģistrācijas nr. LR Uzņēmumu reģistrā,Reģistrācijas datums LR Uzņēmumu reģistrā,Reģistrācijas nr. LR Kultūras ministrijas Bibliotēku reģistrā,Reģistrācijas datums LR Kultūras ministrijas Bibliotēku reģistrā,Juridiskais statuss,Akreditācijas apliecības nr.,Akreditācijas datums,Akreditācijas termiņš,Dibināšanas gads,Sākums,Darbība,Papildus informācija,Ēkas īpašuma forma,Ēkas uzcelšanas gads,Kultūras pieminekļa Valsts aizsardzības Nr.,Teritorijas kopējā platība (m2),Papildu informācija par infrastruktūru,Telpas pieejamas cilvēkiem ar kustību traucējumiem,Ir 3 fāzu elektrības pieslēgums,Telpu kopplatība (m2),Lietotāju vietu skaits bibliotēkā,Aktīvo lietotāju kopskaits 2017.gadā,Bērni un jaunieši līdz 18 gadiem,Pārējie,Fizisko apmeklējumu kopskaits,Fiziskais apmeklējums - Pieaugušie,Fiziskais apmeklējums - Bērni un jaunieši līdz 18 gadiem,Virtuālais apmeklējums,Sociālo tīklu apmeklējums,Izsniegumu kopskaits,No kopējā izsnieguma skaita - bērniem un jauniešiem līdz 18 gadiem,Elektroniski nosūtīto vienību kopskaits,Jaunieguvumu kopskaits,Izslēgto dokumentu kopskaits,Krājumu kopskaits 2017.gada beigās,Bezmaksas Wi-Fi,Integrētā bibliotēku informācijas sistēma,Cita integrētā bibliotēku informācijas sistēma,Datubāžu kopskaits,Printeru kopskaits,Skeneru kopskaits,Kopējamo iekārtu kopskaits,Multifunkcionālo iekārtu kopskaits,Pamatinformācija bibliotēkas vietnē pieejama,Vietnes automātiskās tulkošanas iespēja,Pašapkalpošanas grāmatu izsniegšanas/ nodošanas sistēma,Digitālo kolekciju skaits 2017.gada beigās,Izstāžu kopskaits 2017.gadā,Tematiskie pasākumi,Projektizstrāde,Izdevējdarbība,Zinātniskās pētniecības darbs
Aglonas novada Grāveru pagasta bibliotēka,LV-BIB-000398,"Ezeru iela 21, Grāveri, Grāveru pag., Aglonas nov., LV-5655",56.06062,27.13966,217273,695470,Bibliotēkas,Jā,Raisa Bižāne,1233,26.04.2004,,26.04.2004,Pašvaldības iestāde,814A,16.11.2015,30.09.2020,1954,,"Grāveru bibliotēka ir Aglonas novada Grāveru pagasta pašvaldības kultūras, izglītības un informācijas iestāde, kuras mērķis ir iedzīvotāju bibliotekārā, bibliogrāfiskā un informatīvā apkalpošana. Bibliotēka ir atbalsta punkts gan formālajai izglītībai, gan mūžizglītībai. ;",,Pašvaldības īpašums,1976,,1300.00000000,"Vienā ēkā atrodas pagasta telpas, ambulance, tautas nams",,Jā,56.00000000,13,172,58,114.00000000,2678.00000000,1699,979,,144,3791.00000000,443,,422.00000000,89.00000000,3919.00000000,Jā,ALISE,,2.00000000,2.00000000,,,1.00000000,,,,,62,10,1,,
Aglonas novada Šķeltovas pagasta bibliotēka,LV-BIB-000414,"Daugavpils iela 7, Šķeltova, Šķeltovas pag., Aglonas nov., LV-5653",56.02311,27.00851,212737,687490,Bibliotēkas,Jā,Ļena Afanasjeva,90000019628,23.02.1996,BLB1250,26.04.2004,Pašvaldības iestāde,816A,16.11.2015,16.11.2020,1950,1950. Dibinātajs Šķeltovas ciema padome,"Aglonas novada Šķeltovas pagasta bibliotēka ir pašvaldības izglītojoša, informatīva un kultūras iestāde, kuras mērķis ir iedzīvotāju bibliotekāra, bibliogrāfiskā un informatīva apkalpošana, kā arī iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšana, sistematizēšana, kataloģizēšana, bibliografēšana un saglabāšana. Bibliotēkas misija - būt par centru, kas veicina pastāvīgu, nepārtrauktu izglītošanos, atbalstot visu vecuma iedzīvotāju personīgo un sociālo attīstību. ; ",,Pašvaldības īpašums,1970,,,,,Jā,120.00000000,8,116,33,83.00000000,1658.00000000,921,737,132,,2975.00000000,519,,357.00000000,2929.00000000,3138.00000000,Jā,ALISE,,2.00000000,,,,2.00000000,,,,,32,32,1,,
Aglonas vidusskolas bibliotēka,LV-BIB-012939,"Daugavpils iela 6, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13465,26.99791,225116,686290,Bibliotēkas,Jā,Valentīna Ondzule,4213900381,03.08.2009,BLB1035,19.03.2014,Pašvaldības struktūrvienība,2992,05.12.2014,04.01.2020,1961,Aglonas vidusskolas bibliotēka uzsāka darbību vienlaicīgi ar Aglonas vidusskolas darbības uzsākšanu.,"Regulāri tiek papildināts bibliotēkas jaunieguvumu skaits. Ik mēnesi tiek rīkotas tematiskās izstādes, kā arī sadarbībā ar LNB tiek piedāvāta iespēja iepazīties ar ceļojošajām izstādēm. Tiek rīkoti tematiskie pasākumi, radošās darbnīcas, konkursi dažādām vecumu grupām. Darbojas informatīvais stends. Tiek praktizētas bibliotekāras stundas, apmeklētājiem ir iespēja spēlēt dažādas spēles, izmantot interneta pakalpojumus.","Apmeklētāju apkalpošana katru dienu līdz 15:30;Katra mēneša pēdējā piektdiena- metodiskā dien, spodrības diena.",Pašvaldības īpašums,1960,,78.00000000,,Jā,Jā,78.00000000,25,243,130,113.00000000,2774.00000000,276,2498,,58,3159.00000000,,,323.00000000,466.00000000,7176.00000000,Jā,ALISE,,0.00000000,1.00000000,,,1.00000000,,,,,10,9,3,,
Aiviekstes pagasta bibliotēka,LV-BIB-000100,"1. maija iela 6, Kriškalni, Aiviekstes pag., Pļaviņu nov., LV-5120",56.62157,25.72094,276588,605596,Bibliotēkas,Jā,Kristīne Rulle,LV90000043649,05.08.2009,BLB0276,27.11.2003,Pašvaldības struktūrvienība,416A,15.10.2014,15.10.2019,1978,1978,"Aiviekstes pagasta bibliotēka veic pasaules kultūras mantojuma iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un izmantošanu. Iesaista bibliotēkas lietotājus lasītveicināšanas pasākumos. Nodrošina daudzveidīgu brīvā laika pavadīšanas iespējas.",,Pašvaldības īpašums,1967,,5000.00000000,,Jā,Jā,61.00000000,25,346,69,277.00000000,2517.00000000,2128,389,,,1311.00000000,115,5,531.00000000,0.00000000,4936.00000000,Jā,ALISE,,2.00000000,2.00000000,,1.00000000,1.00000000,,,,,53,30,2,,
Aizkraukles novada vidusskolas bibliotēka,LV-BIB-012444,"Lāčplēša iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.6004,25.26115,273618,577429,Bibliotēkas,Jā,Zane Sirmace- Liedskalniņa,,,BLB2069,20.12.2016,Bibliotēkas struktūrvienība,,,,2016,,,,Pašvaldības īpašums,1973,,,,,,246.00000000,42,805,685,120.00000000,15355.00000000,3147,12208,,,23700.00000000,13136,,1258.00000000,1340.00000000,62014.00000000,Jā,ALISE,,3.00000000,4.00000000,,1.00000000,1.00000000,Latviešu valoda;Krievu valoda,,,,35,24,,,
Aizkraukles pagasta bibliotēka,LV-BIB-000094,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61495,25.22474,275197,575165,Bibliotēkas,Jā,Aija Melne,,,BLB0277,27.11.2003,Pašvaldības iestāde,417A,28.08.2014,28.08.2019,1923,"Arhīva fonda ""Izglītības ministrija"" dokumentos-bibliotēkas lietā redzams, ka pirmā bibliotēka Aizkraukles pagastā nodibināta 1923.g. pie Aizkraukles draudzes dziedāšanas biedrības. 1923.g. 29.februārī Aizkraukles draudzes dziedāšanas biedrības pilnvarotais Andrejs Bērziņš parakstījis Kultūras fonda bibliotēku noteikumus un saņēmis 506 gbibliotēkas dibināšanai. Bibliotēka atradusies Aizkraukles pagasta namā.","Bibliotēka ar kvalitatīva krājuma un informācijas tehnoloģiju palīdzību veicina vietējās sabiedrības pašizglītošanos, garīgo attīstību. Bibliotēka pagastā ir kultūras un informācijas centrs.",Pārtraukums no 12:00 līdz 13:00,Pašvaldības īpašums,1988,,18476.00000000,,,Jā,91.00000000,17,192,59,133.00000000,2768.00000000,1871,897,,,4291.00000000,872,,675.00000000,173.00000000,8681.00000000,Jā,ALISE,,2.00000000,1.00000000,1.00000000,,1.00000000,,,,0,6,7,,,
Aizkraukles pagasta sākumskolas bibliotēka,LV-BIB-012453,"Kalna iela 6, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61614,25.21936,275324,574832,Bibliotēkas,Jā,,,,,,Pašvaldības iestāde,,,,,,,,,,,,,,,0.00000000,,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,0.00000000,,,,0.00000000,,,,,,,,,,,,,
Aizkraukles pilsētas bibliotēka,LV-BIB-000093,"Lāčplēša iela 3, Aizkraukle, Aizkraukles nov., LV-5101",56.60104,25.25588,273684,577104,Bibliotēkas,Jā,Valentīna Laizāne,90001973225,01.07.2005,BLB0278,27.11.2003,Pašvaldības iestāde,83B,12.06.2017,11.06.2022,1961,Dibināta 1961.gadā kā Pļaviņu HES bibliotēka. 1967.gadā kļūst par Stučkas pilsētas bibliotēku. 1990.gadā bibliotēka kļūst par Aizkraukles pilsētas bibliotēku.,"Aizkraukles pilsētas bibliotēka ir kultūras, izglītības un informācijas iestāde, kuras galvenais uzdevums ir veidot bibliotēkas krājumu un ar personāla un tehnisko līdzekļu palīdzību veicināt tā izmantošanu informacionālajā, pētniecības, izglītības vai izklaides vajadzībām. ;Aizkraukles pilsētas bibliotēka ir Aizkraukles novada pašvaldības iestāde, kura veic arī reģiona galvenās bibliotēkas funkcijas un ir metodiskais centrs 20 reģiona pašvaldības bibliotēkām un 12 skolu bibliotēkām.;","Mēneša pēdējā ceturtdiena - spodrības diena.;Jūnijā, jūlijā un augustā bibliotēka sestdienās slēgta;",Pašvaldības īpašums,1980,,1506.00000000,,Jā,Jā,1205.00000000,132,2402,799,1603.00000000,30544.00000000,18278,12266,16120,76403,67303.00000000,14592,194,3564.00000000,8893.00000000,66206.00000000,Jā,ALISE,,5.00000000,2.00000000,,1.00000000,3.00000000,Latviešu valoda,Google,,1,81,74,1,,
Aizkraukles Profesionālās vidusskolas bibliotēka,LV-BIB-013489,"Jaunceltnes iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.60739,25.25801,274393,577222,Bibliotēkas,Jā,Valentīna Truksne,,,BLB1858,25.04.2006,Valsts iestāde,,,,1978,,,,Valsts īpašums,1980,,8118.10000000,,Jā,,169.70000000,13,,,0.00000000,0.00000000,,,,,0.00000000,,,0.00000000,0.00000000,10651.00000000,,ALISE,,0.00000000,1.00000000,,1.00000000,,Latviešu valoda,,,,,,,,
Aizkraukles Vakara (maiņu ) vidusskola,LV-BIB-012445,"Gaismas iela 4A, Aizkraukle, Aizkraukles nov., LV-5101",56.59913,25.24689,273461,576556,Bibliotēkas,Jā,Aina Mieze,,,,,,,,,,,,,Juridisko personu īpašums,,,294.00000000,,Jā,Jā,20.50000000,4,103,33,70.00000000,4886.00000000,3011,1875,,,5322.00000000,2800,,219.00000000,862.00000000,5657.00000000,Jā,LIIS,,0.00000000,1.00000000,1.00000000,,,,,,,,9,,,
Aizputes novada Cīravas pagasta bibliotēka,LV-BIB-000459,"Gaismas, Cīrava, Cīravas pag., Aizputes nov., LV-3453",56.73696,21.38723,291155,340184,Bibliotēkas,Jā,Anita Tuleiko,90000031584,01.03.1996,BLB0384,12.12.2003,Pašvaldības iestāde,401A,17.12.2015,17.12.2020,1946,"Pirmās ziņas par bibliotēkas darbību Cīravas pusē ieejamas pagājušā gadsimta trīsdesmitajos gados, oficiālais bibliotēkas dibināšanas datums 1946.gada 24.novembris ( pēc pirmā ieraksts bibliotēkas fonda uzskaites grāmatā).Kopš 2002.gada bibliotēka atrodas pašvaldības administratīvā ēkā- Aizputes novada Cīravas pagasta „Gaismās”.","Cīravas pagasta bibliotēka ir viena no vadošajām pagasta kultūras, izglītības un informācijas nesējas un uzglabāšanas iestādēm, kura sniedz pakalpojumus visām iedzīvotāju kategorijām. Daudzus gadus bibliotēkas darbības prioritāte ir darbs ar pirmsskolas un skolas vecuma bērniem un jauniešiem, kā sadarbības partnerus piesaistot 3 vietējās izglītības iestādes. Ilgstoši piedalāmies projektā „Bērnu, jauniešu un vecāku žūrija”, no 2017. gada esam projekta „Grāmatu starts” dalībnieki. Bibliotēka realizē izzinošu un radošu pasākumu ciklus bērniem un jauniešiem visām vecuma grupām (dabas projekti (Putnu vērošanas dienas), mākslas izstādes un vizuālās mākslas stundas, droša interneta dienas, Ziemeļvalstu bibliotēku nedēļa, Dzejas pārgājieni dabā). Pozitīva un radošas sadarbība ar senioru kopu (tikšanās ar grāmatu autoriem, Baltā galdauta svētki, radošās darbnīcas, rokdarbu pulciņš). Sadarbībā ar Cīravas pagasta attīstības biedrību 2017. gadā esam realizējuši projektu „Ej dabā un lasi!” , iekārtojot 5 brīvdabas lasītavas Cīravas pagasta dabas takās, kā arī piedāvājot brīvdabas bibliotēkas pasākumus pagasta iedzīvotājiem un tūristiem sezonas laikā.",Pusdienas pārtraukums no 12.00 līdz 13.00.;Spodrības diena - katra mēneša pēdējā piektdienā.;Vasaras periodā - no 1.jūnija līdz 31.augustam bibliotēka sestdienās slēgta.,Pašvaldības īpašums,1980,,1075.00000000,"Pašvaldības administratīvā ēka, kuras pirmājā stāvā atrodas bibliotēka",Jā,Jā,150.00000000,12,266,115,151.00000000,6163.00000000,3111,3052,290,34255,3079.00000000,389,,655.00000000,230.00000000,6935.00000000,Jā,ALISE,,2.00000000,1.00000000,,,2.00000000,,,,,35,38,1,,
